City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
205,severo-yeniseyskiy,60.3725,93.0408,12.96,99,100,0.57,RU,1692049797
206,flying fish cove,-10.4217,105.6791,23.82,88,75,5.66,CX,1692049737
207,chonchi,-42.6128,-73.8092,11.18,94,100,4.81,CL,1692049725
208,margate,51.3813,1.3862,18.72,84,55,1.34,GB,1692049768
209,malango,-2.9627,119.9001,17.71,96,68,1.03,ID,1692049945
210,kilju,40.9642,129.3278,20.37,96,92,1.45,KP,1692049945
211,tamanrasset,22.785,5.5228,30.95,16,40,2.57,DZ,1692049946
212,taoudenni,22.6783,-3.9836,33.89,34,29,7.63,ML,1692049770
213,whitefish,48.4111,-114.3376,34.17,25,0,5.14,US,1692049682
214,breaza de sus,45.1988,25.6558,21.43,50,52,1.93,RO,1692049946
215,lerwick,60.1545,-1.1494,14.0,91,7,0.91,GB,1692049946
216,udachny,66.4167,112.4,11.92,71,76,1.95,RU,1692049732
217,sharlyk,52.9167,54.75,20.23,42,78,1.56,RU,1692049947
218,greymouth,-42.4667,171.2,7.16,89,92,2.76,NZ,1692049657
219,petropavlovsk-kamchatsky,53.0452,158.6483,14.33,88,0,2.0,RU,1692049744
220,princesa isabel,-7.7367,-37.9933,22.46,56,28,7.11,BR,1692049947
221,laem sing,12.4816,102.0738,27.02,86,100,5.66,TH,1692049948
222,anadyr,64.75,177.4833,17.28,51,0,4.0,RU,1692049948
223,bhopal,23.2667,77.4,23.13,94,75,1.03,IN,1692049948
224,tondano,1.3038,124.9112,18.05,95,85,1.62,ID,1692049949
225,kittila,67.6647,24.8936,15.08,94,12,1.54,FI,1692049949
226,chernyshevskiy,63.0128,112.4714,13.13,95,100,1.62,RU,1692049760
227,bouca,6.5105,18.2733,22.54,94,100,0.78,CF,1692049949
228,remire-montjoly,4.9167,-52.2667,25.02,94,0,2.06,GF,1692049950
229,touros,-5.1989,-35.4608,24.51,81,58,7.3,BR,1692049766
230,isola di capo rizzuto,38.96,17.0933,23.44,61,0,2.42,IT,1692049950
231,uturoa,-16.7333,-151.4333,25.59,74,75,6.98,PF,1692049776
232,paragominas,-2.9667,-47.4833,29.51,44,73,1.74,BR,1692049951
233,agat village,13.3886,144.6585,27.98,89,20,2.06,GU,1692049951
234,camrose,53.0168,-112.8353,27.73,34,45,5.24,CA,1692049951
235,enewetak,11.3474,162.3373,28.87,78,88,6.61,MH,1692049733
236,georgetown,5.4112,100.3354,27.19,99,40,1.54,MY,1692049492
237,kailua-kona,19.6406,-155.9956,30.15,71,0,6.17,US,1692049755
238,kill devil hills,36.0307,-75.676,31.66,72,0,6.17,US,1692049664
239,sisimiut,66.9395,-53.6735,7.79,83,89,1.11,GL,1692049952
240,tshabong,-26.05,22.45,11.16,14,43,1.5,BW,1692049952
241,newnham,-41.3833,147.1333,0.37,100,8,3.6,AU,1692049952
242,ghat,24.9647,10.1728,33.24,20,29,3.71,LY,1692049953
243,lodja,-3.4833,23.4333,23.05,78,88,1.11,CD,1692049953
244,kondopoga,62.2057,34.2614,16.82,96,90,2.31,RU,1692049953
245,alaghsas,17.0187,8.0168,27.92,59,97,3.61,NE,1692049953
246,dunedin,-45.8742,170.5036,8.37,58,50,1.34,NZ,1692049954
247,villa sandino,12.0483,-84.9936,32.65,74,39,5.12,NI,1692049954
248,xichang,27.8964,102.2634,19.69,89,46,0.94,CN,1692049954
249,beau vallon,-20.4189,57.6953,23.13,78,40,3.6,MU,1692049763
250,puerto deseado,-47.7503,-65.8938,7.11,81,100,2.26,AR,1692049955
251,sosnytsya,51.5239,32.4999,19.28,65,25,2.4,UA,1692049955
252,vylkove,45.4021,29.586,22.95,65,0,4.21,UA,1692049955
253,thompson,55.7435,-97.8558,27.09,44,75,5.66,CA,1692049748
254,suihua,46.6406,126.9969,21.01,96,17,1.73,CN,1692049955
255,akwanga,8.9167,8.3833,21.49,94,97,1.05,NG,1692049956
256,quellon,-43.1167,-73.6167,11.53,92,100,6.88,CL,1692049956
257,amelia,42.5523,12.4182,22.18,56,0,1.04,IT,1692049956
258,richmond,37.5538,-77.4603,31.93,69,75,3.6,US,1692049741
259,mossendjo,-2.9506,12.7261,20.17,84,9,1.07,CG,1692049956
260,mugia,43.1041,-9.2179,18.84,90,29,1.86,ES,1692049765
261,phongsali,21.6833,102.1058,16.64,100,96,0.1,LA,1692049957
262,cururupu,-1.8283,-44.8683,25.13,84,53,2.23,BR,1692049957
263,jiuquan,39.7432,98.5174,21.49,43,45,1.28,CN,1692049957
264,vadso,70.0744,29.7487,16.49,94,40,0.0,NO,1692049793
265,waiuku,-37.25,174.75,15.11,86,56,3.11,NZ,1692049958
266,santa rosa misiones,-26.8667,-56.85,17.16,52,2,1.6,PY,1692049958
267,mutoko,-17.397,32.2268,13.64,50,0,1.39,ZW,1692049958
268,ancud,-41.8697,-73.8203,11.04,96,100,8.19,CL,1692049734
269,saipan,15.1355,145.701,27.58,100,40,4.12,MP,1692049773
270,lincheng,19.9078,109.6858,26.87,83,100,2.27,CN,1692049959
271,takoradi,4.8845,-1.7554,23.89,89,99,3.48,GH,1692049959
272,extrema,-22.8547,-46.3183,16.03,96,93,1.83,BR,1692049959
273,revda,56.801,59.9303,14.85,82,15,1.35,RU,1692049959
274,mount gambier,-37.8333,140.7667,3.19,93,7,2.17,AU,1692049749
275,hobyo,5.3505,48.5268,25.0,89,7,10.5,SO,1692049960
276,kingston,17.997,-76.7936,29.58,78,75,6.17,JM,1692049677
277,lebu,-37.6167,-73.65,12.17,85,100,2.76,CL,1692049751
278,gornopravdinsk,60.05,69.9,11.19,72,78,1.27,RU,1692049960
279,'ain deheb,34.8422,1.547,26.32,30,0,5.18,DZ,1692049960
280,nantucket,41.2835,-70.0995,25.64,68,0,4.12,US,1692049961
281,puerto lempira,15.2667,-83.7667,28.08,78,75,3.6,HN,1692049961
282,saint-pierre,-21.3393,55.4781,20.82,78,0,3.09,RE,1692049961
283,yung shue wan,22.2333,114.1167,28.75,86,69,2.96,HK,1692049961
284,utrik,11.2278,169.8474,28.77,80,34,7.28,MH,1692049755
285,aykhal,66.0,111.5,13.01,63,93,2.94,RU,1692049962
286,rach gia,10.0167,105.0833,28.15,75,68,7.02,VN,1692049962
287,igarka,67.4667,86.5833,13.14,75,23,3.53,RU,1692049962
